Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1746368529,51,,Aggregated,0.400000,0.000000,20000,27000,29000,32000,36000,38000,38000,38000,38000,38000,38000,17,0,20000.0,20424.52832711655,3214.9965729913674,38375.78361900523,119570.23529411765
1746368530,52,,Aggregated,0.400000,0.000000,20000,27000,29000,32000,36000,38000,38000,38000,38000,38000,38000,17,0,20000.0,20424.52832711655,3214.9965729913674,38375.78361900523,119570.23529411765
1746368531,53,,Aggregated,0.400000,0.000000,20000,27000,29000,32000,36000,38000,38000,38000,38000,38000,38000,17,0,20000.0,20424.52832711655,3214.9965729913674,38375.78361900523,119570.23529411765
1746368532,54,,Aggregated,0.400000,0.000000,23000,27000,32000,34000,38000,41000,41000,41000,41000,41000,41000,18,0,20000.0,21556.497056111562,3214.9965729913674,40799.965449026786,122154.11111111111
1746368533,55,,Aggregated,0.400000,0.000000,23000,27000,32000,34000,38000,41000,41000,41000,41000,41000,41000,18,0,20000.0,21556.497056111562,3214.9965729913674,40799.965449026786,122154.11111111111
1746368534,56,,Aggregated,0.400000,0.000000,23000,27000,32000,34000,38000,41000,41000,41000,41000,41000,41000,18,0,20000.0,21556.497056111562,3214.9965729913674,40799.965449026786,122154.11111111111
1746368535,57,,Aggregated,0.400000,0.000000,23000,29000,34000,36000,41000,43000,43000,43000,43000,43000,43000,19,0,23000.0,22671.79430194971,3214.9965729913674,42747.14472703636,123219.8947368421
1746368536,58,,Aggregated,0.400000,0.000000,23000,29000,34000,36000,41000,43000,43000,43000,43000,43000,43000,19,0,23000.0,22671.79430194971,3214.9965729913674,42747.14472703636,123219.8947368421
1746368537,59,,Aggregated,0.400000,0.000000,23000,29000,34000,36000,41000,43000,43000,43000,43000,43000,43000,19,0,23000.0,22671.79430194971,3214.9965729913674,42747.14472703636,123219.8947368421
1746368538,60,,Aggregated,0.400000,0.000000,25000,32000,36000,38000,43000,45000,45000,45000,45000,45000,45000,20,0,23000.0,23773.86843030399,3214.9965729913674,44713.276869035326,117116.15
1746368539,61,,Aggregated,0.400000,0.000000,25000,32000,36000,38000,43000,45000,45000,45000,45000,45000,45000,20,0,23000.0,23773.86843030399,3214.9965729913674,44713.276869035326,117116.15
1746368540,62,,Aggregated,0.400000,0.000000,25000,32000,36000,38000,43000,45000,45000,45000,45000,45000,45000,20,0,23000.0,23773.86843030399,3214.9965729913674,44713.276869035326,117116.15
1746368541,63,,Aggregated,0.400000,0.000000,25000,32000,36000,38000,43000,45000,47000,47000,47000,47000,47000,21,0,25000.0,24884.273441289442,3214.9965729913674,47092.37366099842,111561.57142857143
1746368542,64,,Aggregated,0.400000,0.000000,25000,32000,36000,38000,43000,45000,47000,47000,47000,47000,47000,21,0,25000.0,24884.273441289442,3214.9965729913674,47092.37366099842,111561.57142857143
1746368543,65,,Aggregated,0.400000,0.000000,25000,32000,36000,38000,43000,45000,47000,47000,47000,47000,47000,21,0,25000.0,24884.273441289442,3214.9965729913674,47092.37366099842,111561.57142857143
1746368544,66,,Aggregated,0.400000,0.000000,27000,34000,38000,41000,45000,47000,50000,50000,50000,50000,50000,22,0,25000.0,26013.879647684833,3214.9965729913674,49735.60998198809,116390.95454545454
1746368545,67,,Aggregated,0.400000,0.000000,27000,34000,38000,41000,45000,47000,50000,50000,50000,50000,50000,22,0,25000.0,26013.879647684833,3214.9965729913674,49735.60998198809,116390.95454545454
1746368546,68,,Aggregated,0.400000,0.000000,27000,34000,38000,41000,45000,47000,50000,50000,50000,50000,50000,22,0,25000.0,26013.879647684833,3214.9965729913674,49735.60998198809,116390.95454545454
1746368547,69,,Aggregated,0.300000,0.000000,27000,36000,41000,43000,47000,50000,52000,52000,52000,52000,52000,23,0,27000.0,27127.713019916606,3214.9965729913674,51632.04720901558,118107.17391304347
1746368548,70,,Aggregated,0.300000,0.000000,27000,36000,41000,43000,47000,50000,52000,52000,52000,52000,52000,23,0,27000.0,27127.713019916606,3214.9965729913674,51632.04720901558,118107.17391304347
